"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"0";"T001081";"1997KW01";"    89.8";"     152";"     142"
"1";"T001081";"1997KW02";"   101.7";"     190";"     179"
"2";"T001081";"1997KW03";"    92.7";"     183";"     192"
"3";"T001081";"1997KW04";"   116.2";"     189";"     166"
"4";"T001081";"1997JJ00";"       .";"     715";"     679"
"5";"T001081";"1998KW01";"   134.2";"     220";"     202"
"6";"T001081";"1998KW02";"   153.3";"     230";"     211"
"7";"T001081";"1998KW03";"   129.7";"     208";"     232"
"8";"T001081";"1998KW04";"   137.6";"     197";"     189"
"9";"T001081";"1998JJ00";"   136.0";"     855";"     834"
"10";"T001081";"1999KW01";"   158.8";"     241";"     221"
"11";"T001081";"1999KW02";"   197.1";"     266";"     228"
"12";"T001081";"1999KW03";"   171.1";"     217";"     243"
"13";"T001081";"1999KW04";"   184.4";"     226";"     213"
"14";"T001081";"1999JJ00";"   172.0";"     950";"     904"
"15";"T001081";"2000KW01";"   216.6";"     284";"     252"
"16";"T001081";"2000KW02";"   219.3";"     251";"     249"
"17";"T001081";"2000KW03";"   184.2";"     229";"     264"
"18";"T001081";"2000KW04";"   205.3";"     254";"     233"
"19";"T001081";"2000JJ00";"   203.7";"    1018";"     997"
"20";"T001081";"2001KW01";"   216.8";"     270";"     259"
"21";"T001081";"2001KW02";"   219.4";"     274";"     271"
"22";"T001081";"2001KW03";"   172.1";"     210";"     257"
"23";"T001081";"2001KW04";"   165.3";"     194";"     201"
"24";"T001081";"2001JJ00";"   198.4";"     949";"     989"
"25";"T001081";"2002KW01";"   178.9";"     214";"     200"
"26";"T001081";"2002KW02";"   163.0";"     201";"     217"
"27";"T001081";"2002KW03";"   116.2";"     161";"     208"
"28";"T001081";"2002KW04";"   121.8";"     163";"     157"
"29";"T001081";"2002JJ00";"   150.4";"     738";"     781"
"30";"T001081";"2003KW01";"   124.1";"     177";"     175"
"31";"T001081";"2003KW02";"   125.7";"     175";"     174"
"32";"T001081";"2003KW03";"    81.8";"     142";"     185"
"33";"T001081";"2003KW04";"    94.8";"     152";"     139"
"34";"T001081";"2003JJ00";"   110.0";"     646";"     672"
"35";"T001081";"2004KW01";"   121.5";"     178";"     151"
"36";"T001081";"2004KW02";"   136.3";"     202";"     187"
"37";"T001081";"2004KW03";"   109.6";"     168";"     194"
"38";"T001081";"2004KW04";"   120.7";"     175";"     164"
"39";"T001081";"2004JJ00";"   118.8";"     723";"     697"
"40";"T001081";"2005KW01";"   154.1";"     217";"     183"
