"ID";"BedrijfstakkenBranchesSBI2008";"RegioS";"Perioden";"OpenstaandeVacatures_1"
"0";"T001081";"NL01  ";"2011KW01";"   135.5"
"1";"T001081";"NL01  ";"2011KW02";"   143.6"
"2";"T001081";"NL01  ";"2011KW03";"   130.6"
"3";"T001081";"NL01  ";"2011KW04";"   133.8"
"4";"T001081";"NL01  ";"2012KW01";"   118.1"
"5";"T001081";"NL01  ";"2012KW02";"   116.1"
"6";"T001081";"NL01  ";"2012KW03";"   105.9"
"7";"T001081";"NL01  ";"2012KW04";"    94.9"
"8";"T001081";"NL01  ";"2013KW01";"    97.1"
"9";"T001081";"NL01  ";"2013KW02";"    96.7"
"10";"T001081";"NL01  ";"2013KW03";"    93.7"
"11";"T001081";"NL01  ";"2013KW04";"    91.0"
"12";"T001081";"NL01  ";"2014KW01";"   105.7"
"13";"T001081";"NL01  ";"2014KW02";"   112.9"
"14";"T001081";"NL01  ";"2014KW03";"   112.1"
"15";"T001081";"NL01  ";"2014KW04";"   112.9"
"16";"T001081";"NL01  ";"2015KW01";"   127.0"
"17";"T001081";"NL01  ";"2015KW02";"   136.5"
"18";"T001081";"NL01  ";"2015KW03";"   130.9"
"19";"T001081";"NL01  ";"2015KW04";"   136.3"
"20";"T001081";"NL01  ";"2016KW01";"   153.0"
"21";"T001081";"NL01  ";"2016KW02";"   161.8"
"22";"T001081";"NL01  ";"2016KW03";"   159.1"
"23";"T001081";"NL01  ";"2016KW04";"   163.4"
"24";"T001081";"NL01  ";"2017KW01";"   188.5"
"25";"T001081";"NL01  ";"2017KW02";"   212.8"
"26";"T001081";"NL01  ";"2017KW03";"   210.1"
"27";"T001081";"NL01  ";"2017KW04";"   218.6"
"28";"T001081";"NL01  ";"2018KW01";"   237.8"
"29";"T001081";"NL01  ";"2018KW02";"   260.6"
"30";"T001081";"NL01  ";"2018KW03";"   258.3"
"31";"T001081";"NL01  ";"2018KW04";"   254.9"
"32";"T001081";"NL01  ";"2019KW01";"   278.9"
"33";"T001081";"NL01  ";"2019KW02";"   293.8"
"34";"T001081";"NL01  ";"2019KW03";"   283.8"
"35";"T001081";"NL01  ";"2019KW04";"   281.2"
"36";"T001081";"NL01  ";"2020KW01";"   221.7"
"37";"T001081";"NL01  ";"2020KW02";"   200.4"
"38";"T001081";"NL01  ";"2020KW03";"   215.6"
"39";"T001081";"NL01  ";"2020KW04";"   213.7"
"40";"T001081";"NL01  ";"2021KW01";"   248.5"
