ID;KenmerkenBaanWerknemerBedrijf;BedrijfstakkenBranchesSBI2008;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;T001098;T001081;2009JJ00;7820;5925;20.02;2225;2195;30650;26710;3940;510;29.1;28.8;1315;1736
1;T001098;T001081;2010X000;7774;5870;20.39;2245;2214;30960;26940;4020;490;29.0;28.6;1303;1725
2;T001098;T001081;2010JJ00;7860;5924;20.41;2245;2214;30990;26940;4050;500;28.9;28.5;1301;1727
3;T001098;T001081;2011JJ00;7926;5926;20.62;2266;2234;31340;27200;4140;470;28.7;28.3;1300;1739
4;T001098;T001081;2012JJ00;7872;5868;21.16;2302;2271;31740;27630;4120;480;28.6;28.3;1288;1728
5;T001098;T001081;2013JJ00;7746;5773;21.48;2337;2306;32430;28050;4380;460;28.8;28.4;1288;1729
6;T001098;T001081;2014JJ00;7706;5740;21.58;2359;2328;32590;28310;4270;430;28.8;28.4;1294;1738
7;T001098;T001081;2015JJ00;7783;5794;22.08;2405;2373;33200;28860;4340;390;28.8;28.4;1290;1732
8;T001098;T001081;2016JJ00;7893;5902;22.13;2436;2404;33730;29230;4500;390;29.0;28.6;1303;1743
9;T001098;T001081;2017JJ00;8096;6045;22.23;2460;2427;34090;29520;4570;400;29.0;28.7;1310;1754
10;T001098;T001081;2018JJ00;8324;6237;22.69;2508;2474;34670;30090;4580;420;29.1;28.8;1309;1747
11;T001098;T001081;2019JJ00;8501;6381;23.14;2575;2543;35630;30900;4740;440;29.2;28.9;1318;1756
12;T001098;T001081;2020JJ00;8391;6356;24.07;2692;2663;37280;32310;4970;470;29.5;29.2;1328;1753
13;T001098;T001081;2021JJ00;8561;6507;24.45;2761;2730;38380;33130;5250;470;29.5;29.2;1340;1763
14;T001098;T001081;2022JJ00;8868;6723;25.32;2852;2822;39940;34230;5710;480;29.5;29.2;1337;1764
15;T001098;300035;2009JJ00;1351;1197;20.07;2695;2640;36640;32340;4290;700;35.1;34.5;1579;1783
16;T001098;300035;2010X000;1308;1161;20.44;2744;2685;37210;32920;4290;720;35.1;34.5;1576;1776
17;T001098;300035;2010JJ00;1322;1170;20.45;2739;2680;37180;32860;4320;730;35.1;34.4;1573;1778
18;T001098;300035;2011JJ00;1313;1157;20.78;2796;2733;38010;33550;4470;710;34.9;34.3;1578;1790
19;T001098;300035;2012JJ00;1290;1137;21.35;2850;2788;38720;34200;4510;730;35.0;34.3;1567;1778
20;T001098;300035;2013JJ00;1243;1097;21.60;2904;2838;39810;34850;4960;720;35.4;34.6;1577;1787
21;T001098;300035;2014JJ00;1220;1076;21.80;2942;2876;40270;35310;4960;690;35.3;34.6;1583;1795
22;T001098;300035;2015JJ00;1208;1067;22.44;3015;2946;41260;36180;5080;590;35.3;34.6;1575;1783
23;T001098;300035;2016JJ00;1212;1072;22.70;3064;2996;42110;36770;5340;580;35.3;34.6;1583;1791
24;T001098;300035;2017JJ00;1225;1086;22.93;3108;3037;42790;37290;5490;610;35.4;34.7;1589;1793
25;T001098;300035;2018JJ00;1253;1112;23.48;3176;3106;43590;38120;5470;640;35.5;34.8;1587;1789
26;T001098;300035;2019JJ00;1284;1141;24.01;3264;3195;44680;39170;5520;680;35.5;34.9;1597;1797
27;T001098;300035;2020JJ00;1287;1144;24.79;3352;3293;45780;40230;5550;710;35.5;34.9;1594;1792
28;T001098;300035;2021JJ00;1300;1154;25.14;3421;3357;47120;41050;6080;740;35.4;34.8;1602;1805
29;T001098;300035;2022JJ00;1322;1174;26.09;3547;3485;49120;42560;6560;760;35.4;34.8;1603;1805
30;T001098;800009;2009JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
31;T001098;800009;2010X000;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
32;T001098;800009;2010JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
33;T001098;800009;2011JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
34;T001098;800009;2012JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
35;T001098;800009;2013JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
36;T001098;800009;2014JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
37;T001098;800009;2015JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
38;T001098;800009;2016JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
39;T001098;800009;2017JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
40;T001098;800009;2018JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
41;T001098;800009;2019JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
42;T001098;800009;2020JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
43;T001098;800009;2021JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
44;T001098;800009;2022JJ00;0;0;0.00;0;0;0;0;0;0;0.0;0.0;0;0
45;T001098;301000;2009JJ00;105;71;14.38;1482;1439;19380;17790;1600;280;26.7;26.2;1201;1792
46;T001098;301000;2010X000;103;70;14.60;1515;1470;19820;18180;1640;290;27.0;26.4;1208;1777
47;T001098;301000;2010JJ00;106;72;14.61;1506;1462;19700;18080;1620;300;26.8;26.2;1201;1780
48;T001098;301000;2011JJ00;106;71;14.93;1556;1509;20420;18680;1740;290;26.9;26.3;1213;1798
49;T001098;301000;2012JJ00;105;71;15.38;1595;1547;20830;19140;1690;310;27.0;26.3;1207;1793
50;T001098;301000;2013JJ00;105;72;15.58;1655;1605;21670;19860;1810;300;27.8;27.1;1236;1796
51;T001098;301000;2014JJ00;104;72;15.74;1681;1631;21910;20180;1740;290;27.8;27.1;1243;1808
52;T001098;301000;2015JJ00;102;70;15.91;1695;1642;22210;20340;1860;240;27.8;27.1;1239;1798
53;T001098;301000;2016JJ00;104;72;16.02;1724;1669;22500;20690;1810;240;28.0;27.3;1250;1808
54;T001098;301000;2017JJ00;106;74;16.18;1769;1712;23150;21220;1920;250;28.4;27.7;1270;1816
55;T001098;301000;2018JJ00;108;77;16.64;1844;1784;24000;22120;1880;260;28.9;28.1;1286;1816
56;T001098;301000;2019JJ00;110;79;17.07;1919;1860;24940;23030;1910;280;29.2;28.5;1308;1828
57;T001098;301000;2020JJ00;112;81;17.72;2000;1943;26050;24000;2050;290;29.5;28.8;1316;1825
58;T001098;301000;2021JJ00;114;82;17.80;2015;1956;26280;24180;2110;300;29.3;28.6;1319;1840
59;T001098;301000;2022JJ00;111;81;18.67;2147;2088;28140;25760;2370;320;29.8;29.1;1342;1845
60;T001098;300003;2009JJ00;1246;1126;20.42;2798;2742;38090;33570;4520;740;35.8;35.2;1611;1782
61;T001098;300003;2010X000;1205;1090;20.82;2849;2789;38700;34190;4520;760;35.8;35.2;1607;1776
62;T001098;300003;2010JJ00;1216;1098;20.83;2846;2787;38700;34150;4550;770;35.8;35.1;1605;1777
63;T001098;300003;2011JJ00;1207;1086;21.17;2904;2840;39560;34850;4700;750;35.6;35.0;1610;1789
64;T001098;300003;2012JJ00;1185;1066;21.75;2962;2898;40310;35540;4760;770;35.7;35.0;1599;1777
65;T001098;300003;2013JJ00;1138;1025;22.02;3019;2952;41480;36230;5250;760;36.1;35.3;1608;1786
66;T001098;300003;2014JJ00;1116;1004;22.23;3060;2992;41990;36720;5260;720;36.0;35.3;1615;1794
67;T001098;300003;2015JJ00;1106;997;22.90;3136;3066;43010;37630;5380;620;36.0;35.3;1606;1782
68;T001098;300003;2016JJ00;1108;1000;23.19;3190;3120;43950;38280;5670;620;36.0;35.3;1615;1789
69;T001098;300003;2017JJ00;1119;1012;23.43;3235;3162;44650;38820;5830;640;36.1;35.4;1619;1791
70;T001098;300003;2018JJ00;1145;1035;23.99;3302;3231;45440;39630;5810;680;36.1;35.4;1616;1787
71;T001098;300003;2019JJ00;1174;1062;24.53;3390;3320;46540;40680;5850;720;36.1;35.5;1624;1795
72;T001098;300003;2020JJ00;1175;1063;25.34;3481;3421;47660;41780;5890;750;36.0;35.5;1620;1790
73;T001098;300003;2021JJ00;1186;1072;25.71;3556;3491;49130;42670;6460;780;36.0;35.4;1629;1803
74;T001098;300003;2022JJ00;1211;1093;26.65;3675;3613;51040;44100;6940;810;35.9;35.4;1627;1802
75;T001098;300002;2009JJ00;861;776;20.16;2735;2678;37970;32830;5150;520;35.5;34.9;1594;1769
76;T001098;300002;2010X000;833;751;20.60;2792;2730;38640;33500;5130;540;35.5;34.8;1590;1764
77;T001098;300002;2010JJ00;839;755;20.61;2790;2728;38660;33480;5190;550;35.4;34.7;1589;1765
78;T001098;300002;2011JJ00;837;750;21.05;2855;2788;39680;34260;5420;530;35.2;34.5;1589;1774
79;T001098;300002;2012JJ00;830;743;21.67;2919;2853;40410;35020;5390;550;35.2;34.6;1580;1764
80;T001098;300002;2013JJ00;813;730;22.02;2983;2915;41720;35790;5930;550;35.6;34.9;1589;1771
81;T001098;300002;2014JJ00;809;725;22.27;3028;2959;42270;36330;5930;520;35.6;34.9;1594;1779
82;T001098;300002;2015JJ00;808;725;23.14;3128;3058;43620;37540;6080;460;35.6;34.8;1586;1767
83;T001098;300002;2016JJ00;810;728;23.26;3162;3092;44420;37950;6470;460;35.6;34.9;1595;1776
84;T001098;300002;2017JJ00;812;731;23.56;3208;3135;45200;38500;6700;480;35.6;34.9;1596;1775
85;T001098;300002;2018JJ00;827;744;24.12;3274;3200;45970;39290;6680;500;35.7;35.0;1592;1770
86;T001098;300002;2019JJ00;845;761;24.72;3366;3293;47110;40390;6720;530;35.7;35.0;1599;1776
87;T001098;300002;2020JJ00;839;756;25.61;3468;3406;48320;41610;6710;540;35.6;35.1;1596;1771
88;T001098;300002;2021JJ00;843;758;26.00;3547;3480;49940;42560;7380;560;35.6;35.0;1606;1784
89;T001098;300002;2022JJ00;859;772;26.95;3669;3604;52030;44030;8000;560;35.5;35.0;1605;1785
90;T001098;305700;2009JJ00;8;7;33.58;4888;4827;73700;58660;15040;850;38.3;37.7;1725;1821
91;T001098;305700;2010X000;8;7;35.21;5081;4999;76940;60970;15960;850;37.9;37.3;1704;1808
92;T001098;305700;2010JJ00;8;7;35.31;5094;5013;77280;61130;16150;850;37.8;37.3;1703;1810
93;T001098;305700;2011JJ00;8;8;39.98;5756;5673;86490;69070;17410;810;37.7;37.1;1703;1813
94;T001098;305700;2012JJ00;9;8;36.40;5244;5174;79000;62930;16060;790;37.9;37.3;1706;1809
95;T001098;305700;2013JJ00;10;10;33.24;5131;5051;80100;61570;18530;720;40.3;39.7;1823;1928
96;T001098;305700;2014JJ00;11;10;34.32;5303;5214;80290;63630;16660;660;40.1;39.5;1823;1931
97;T001098;305700;2015JJ00;11;11;36.58;5582;5510;85170;66980;18190;590;39.9;39.4;1808;1912
98;T001098;305700;2016JJ00;10;10;35.68;5505;5439;86970;66060;20920;580;40.2;39.6;1829;1934
99;T001098;305700;2017JJ00;9;8;35.03;5511;5437;83810;66130;17680;620;41.0;40.4;1862;1959
100;T001098;305700;2018JJ00;8;8;34.95;5424;5351;82940;65080;17850;650;40.6;40.0;1837;1946
101;T001098;305700;2019JJ00;8;8;36.72;5573;5500;84340;66880;17460;660;39.7;39.1;1797;1905
102;T001098;305700;2020JJ00;8;8;38.03;5585;5511;84220;67020;17200;680;38.7;38.1;1739;1840
103;T001098;305700;2021JJ00;8;7;37.73;5599;5515;83650;67190;16460;710;38.8;38.1;1754;1856
104;T001098;305700;2022JJ00;8;7;39.33;5801;5727;90190;69610;20580;700;38.6;38.1;1747;1849
105;T001098;307500;2009JJ00;794;713;19.80;2677;2623;37080;32120;4960;510;35.3;34.8;1590;1769
